WBGT2 ,ó§è„ã£ãZèÍì˙Ç»ÇΩ
ì˙         éû      , é¸àÕâ∑ìx,  éºãÖ,  çïãÖ,  WBGT,  éºìx
2021-12-23 09:35:10,     08.8,  04.3,  17.6,    07,    41
2021-12-23 09:36:10,     08.8,  04.3,  17.6,    07,    41
2021-12-23 09:37:10,     08.9,  04.4,  17.9,    08,    41
2021-12-23 09:38:10,     08.9,  04.4,  17.9,    08,    41
2021-12-23 09:39:10,     09.1,  04.6,  18.2,    08,    42
2021-12-23 09:40:10,     09.1,  04.6,  18.2,    08,    42
2021-12-23 09:41:10,     09.1,  04.6,  18.2,    08,    42
2021-12-23 09:42:10,     09.1,  04.6,  18.1,    08,    42
2021-12-23 09:43:10,     09.1,  04.6,  18.1,    08,    42
2021-12-23 09:44:11,     09.0,  04.5,  18.0,    08,    41
2021-12-23 09:45:10,     08.9,  04.3,  17.2,    07,    40
2021-12-23 09:46:10,     08.9,  04.3,  17.2,    07,    40
2021-12-23 09:47:10,     09.0,  04.4,  17.3,    07,    40
2021-12-23 09:48:10,     09.0,  04.4,  17.3,    07,    40
2021-12-23 09:49:10,     09.1,  04.5,  17.6,    08,    41
2021-12-23 09:50:10,     09.0,  04.4,  17.2,    07,    40
2021-12-23 09:51:10,     09.0,  04.4,  17.2,    07,    40
2021-12-23 09:52:10,     09.0,  04.4,  17.0,    07,    40
2021-12-23 09:53:10,     09.0,  04.4,  17.0,    07,    40
2021-12-23 09:54:10,     09.0,  04.4,  17.0,    07,    40
2021-12-23 09:55:10,     09.5,  04.9,  19.0,    08,    41
2021-12-23 09:56:10,     09.5,  04.9,  19.0,    08,    41
2021-12-23 09:57:10,     09.5,  04.9,  19.0,    08,    41
2021-12-23 09:58:10,     09.4,  04.7,  18.5,    08,    40
2021-12-23 09:59:10,     09.4,  04.7,  18.5,    08,    40
2021-12-23 10:00:10,     09.6,  04.9,  19.3,    08,    41
2021-12-23 10:01:10,     09.6,  04.8,  19.7,    08,    40
2021-12-23 10:02:10,     09.6,  04.8,  19.7,    08,    40
2021-12-23 10:03:10,     09.4,  04.7,  18.7,    08,    40
2021-12-23 10:04:10,     09.4,  04.7,  18.7,    08,    40
2021-12-23 10:05:10,     09.4,  04.7,  18.5,    08,    40
2021-12-23 10:06:11,     09.5,  04.8,  18.6,    08,    40
2021-12-23 10:07:10,     09.5,  04.8,  18.6,    08,    40
2021-12-23 10:08:10,     09.8,  05.0,  18.9,    08,    40
2021-12-23 10:09:10,     09.8,  05.0,  19.6,    08,    40
2021-12-23 10:10:10,     09.8,  05.0,  19.6,    08,    40
2021-12-23 10:11:10,     09.6,  04.8,  19.2,    08,    39
2021-12-23 10:12:10,     09.6,  04.8,  19.2,    08,    39
2021-12-23 10:13:11,     09.6,  04.8,  19.2,    08,    39
2021-12-23 10:14:10,     09.7,  04.9,  19.0,    08,    40
2021-12-23 10:15:10,     09.7,  04.9,  19.0,    08,    40
2021-12-23 10:16:10,     09.7,  04.8,  19.1,    08,    39
2021-12-23 10:17:10,     09.7,  04.8,  19.1,    08,    39
2021-12-23 10:18:10,     09.9,  05.0,  19.1,    08,    39
2021-12-23 10:19:10,     09.6,  04.8,  18.3,    08,    39
2021-12-23 10:20:10,     09.6,  04.8,  18.3,    08,    39
2021-12-23 10:21:10,     09.8,  05.0,  17.8,    08,    40
2021-12-23 10:22:10,     09.8,  05.0,  17.8,    08,    40
2021-12-23 10:23:10,     09.8,  05.0,  17.8,    08,    40
2021-12-23 10:24:10,     09.8,  05.0,  17.8,    08,    40
2021-12-23 10:25:10,     09.8,  05.0,  17.8,    08,    40
2021-12-23 10:26:10,     10.0,  05.1,  19.1,    08,    39
2021-12-23 10:27:10,     09.8,  05.0,  17.7,    08,    40
2021-12-23 10:28:11,     09.8,  05.0,  17.7,    08,    40
2021-12-23 10:29:10,     09.9,  05.0,  17.8,    08,    39
2021-12-23 10:30:10,     09.9,  05.0,  17.8,    08,    39
2021-12-23 10:31:10,     09.7,  04.8,  17.8,    08,    39
2021-12-23 10:32:10,     09.7,  04.8,  17.6,    08,    39
2021-12-23 10:33:10,     09.7,  04.8,  17.6,    08,    39
2021-12-23 10:34:10,     09.8,  04.9,  18.1,    08,    39
2021-12-23 10:35:10,     09.9,  05.0,  18.1,    08,    39
2021-12-23 10:36:10,     09.9,  05.0,  18.1,    08,    39
2021-12-23 10:37:10,     09.9,  04.9,  18.2,    08,    38
2021-12-23 10:38:10,     09.9,  04.9,  18.2,    08,    38
2021-12-23 10:39:10,     09.9,  04.9,  18.2,    08,    38
2021-12-23 10:40:10,     10.0,  05.1,  18.5,    08,    39
2021-12-23 10:41:10,     10.0,  05.1,  18.5,    08,    39
2021-12-23 10:42:10,     10.1,  05.2,  17.9,    08,    40
2021-12-23 10:43:11,     10.1,  05.2,  17.9,    08,    40
2021-12-23 10:44:10,     10.1,  05.2,  17.9,    08,    40
2021-12-23 10:45:10,     10.3,  05.3,  17.5,    08,    39
2021-12-23 10:46:10,     10.3,  05.3,  17.5,    08,    39
2021-12-23 10:47:10,     10.3,  05.3,  17.6,    08,    39
2021-12-23 10:48:10,     10.4,  05.4,  18.2,    08,    39
2021-12-23 10:49:10,     10.4,  05.4,  18.2,    08,    39
2021-12-23 10:50:10,     10.2,  05.1,  18.0,    08,    37
2021-12-23 10:51:10,     10.2,  05.1,  18.0,    08,    37
2021-12-23 10:52:10,     10.3,  05.3,  17.8,    08,    39
2021-12-23 10:53:10,     10.3,  05.1,  17.5,    08,    37
2021-12-23 10:54:10,     10.3,  05.1,  17.5,    08,    37
2021-12-23 10:55:11,     10.1,  05.0,  17.3,    08,    37
2021-12-23 10:56:10,     10.1,  05.0,  17.3,    08,    37
2021-12-23 10:57:10,     10.2,  05.2,  17.2,    08,    38
2021-12-23 10:58:11,     10.2,  05.2,  17.2,    08,    38
2021-12-23 10:59:10,     10.2,  05.2,  17.2,    08,    38
2021-12-23 11:00:10,     10.3,  05.1,  17.8,    08,    37
2021-12-23 11:01:10,     10.3,  05.1,  17.8,    08,    37
2021-12-23 11:02:10,     10.3,  05.1,  18.2,    08,    36
2021-12-23 11:03:10,     10.4,  05.2,  18.3,    08,    37
2021-12-23 11:04:10,     10.4,  05.2,  18.3,    08,    37
2021-12-23 11:05:10,     10.4,  05.2,  18.2,    08,    37
2021-12-23 11:06:10,     10.4,  05.1,  18.2,    08,    36
2021-12-23 11:07:10,     10.4,  05.1,  18.2,    08,    36
2021-12-23 11:08:10,     10.5,  05.3,  18.2,    08,    37
2021-12-23 11:09:10,     10.5,  05.3,  18.2,    08,    37
2021-12-23 11:10:10,     10.7,  05.5,  18.7,    09,    37
2021-12-23 11:11:10,     10.7,  05.5,  18.7,    09,    37
2021-12-23 11:12:10,     10.7,  05.5,  18.7,    09,    37
2021-12-23 11:13:10,     10.5,  05.2,  18.8,    08,    36
2021-12-23 11:14:10,     10.5,  05.2,  18.8,    08,    36
2021-12-23 11:15:10,     10.5,  05.2,  19.0,    08,    36
2021-12-23 11:16:10,     10.5,  05.1,  18.7,    08,    35
2021-12-23 11:17:11,     10.5,  05.1,  18.7,    08,    35
2021-12-23 11:18:10,     10.5,  05.1,  18.7,    08,    35
2021-12-23 11:19:10,     10.5,  05.1,  18.7,    08,    35
2021-12-23 11:20:11,     10.9,  05.5,  19.3,    09,    36
2021-12-23 11:21:10,     10.9,  05.5,  19.8,    09,    36
2021-12-23 11:22:10,     10.9,  05.5,  19.8,    09,    36
2021-12-23 11:23:10,     11.0,  05.6,  20.8,    09,    36
2021-12-23 11:24:10,     11.0,  05.6,  20.8,    09,    36
2021-12-23 11:25:10,     11.0,  05.6,  20.8,    09,    36
